epoch,batches,vicreg_total_loss,invariance_loss,variance_loss,covariance_loss,learning_rate,elapsed_seconds
1,749,32.96673794582148,0.03437149209279358,0.9577483519692924,6.24826340474307,0.0001,510.1393273640001
2,749,25.23773736024253,0.045445576310157776,0.5578984870452269,9.038513839961054,0.0001,497.39545659199985
3,749,23.326231313483895,0.04377344432715898,0.4642162857768692,9.697974981071157,0.0001,508.1079400580006
4,749,22.18856090601678,0.04412471205468609,0.41000142116572097,10.015323580982528,0.0001,509.2014698769999
5,749,21.533010037145882,0.0454400551352446,0.3794010503588118,10.15317314934826,0.0001,507.814628483
6,749,21.024693958908916,0.044892402184264206,0.3564943687938084,10.277039689597522,0.0001,507.72273164800026
7,749,20.642803607222554,0.042961547071628955,0.3400425828187583,10.387559765967254,0.0001,515.4317694239999
8,749,20.307169220317032,0.04406392239332597,0.3258053381070594,10.408800461263619,0.0001,523.2303435969998
9,749,19.98802494716262,0.0432624746280634,0.31373797876335113,10.435470508478671,0.0001,484.97064799500004
10,749,19.80348462001663,0.04282848409331032,0.306687236628004,10.452231790417823,0.0001,497.39556901000014
11,749,19.577360761818166,0.04202972636377819,0.29824727240487314,10.473927564073469,0.0001,489.1775060209993
12,749,19.377558755301663,0.04104698963465793,0.2900770363088284,10.519337154994501,0.0001,476.15385369400065
13,749,19.226128885042524,0.041575305224787966,0.282563926381008,10.557485328974806,0.0001,477.43344598300064
14,749,19.11572764234963,0.038184271454537545,0.28010312578229307,10.598271438053676,0.0001,480.0505548429992
15,749,19.030371504250134,0.037693779066314444,0.27728817459737987,10.601263374766615,0.0001,478.55887243899997
16,749,18.962224403911026,0.03955164548439858,0.272266179124249,10.622334927201113,0.0001,476.62507316400115
17,749,18.831944258095266,0.038826358579820364,0.26706849366864155,10.650415621071218,0.0001,476.0711908939993
18,749,18.741656375981776,0.03745283035981719,0.26495613943591456,10.651495061347259,0.0001,473.0943868309987
19,749,18.705737099946738,0.038091483233727824,0.2624767593770861,10.666599888667882,0.0001,474.0072737190003
20,749,18.545221799842825,0.036519296496524634,0.2569045511202437,10.69567292904822,0.0001,477.1428048179987
21,749,18.550520517479114,0.037138265201346936,0.2577940835176068,10.661668744360972,0.0001,478.73486193200006
22,749,18.465255233092364,0.03671506632154233,0.25377000062583444,10.6955292043444,0.0001,474.81921919900014
23,749,18.406808234343384,0.03719988683964784,0.25103637532334777,10.698815401787751,0.0001,476.69927570100117
24,749,18.41744866899559,0.03668201178528657,0.25202711688501334,10.695643043008761,0.0001,485.826578057
25,749,18.353359287348546,0.03654355454806969,0.25008197779330776,10.687467873016887,0.0001,486.44720182200035
26,749,18.304377478178097,0.035466654106815446,0.2485534097546729,10.706846588603327,0.0001,484.2326821199986
27,749,18.23946523348066,0.035105608008274725,0.24624515630215288,10.713293649803335,0.0001,486.909075440999
28,749,18.138129490239915,0.03410724256665151,0.24318850915804405,10.719250773237608,0.0001,485.38064190500154
29,749,18.19764930383863,0.03532340048622086,0.2442861641042223,10.718827304916484,0.0001,486.87929803899897
30,749,18.173992127697364,0.03535740352043004,0.24358079653079107,10.713381899692347,0.0001,489.414450100001
31,749,18.082643343386884,0.0347648038195001,0.24014261854347463,10.729708923675986,0.0001,488.9492646960025
32,749,18.053654379138003,0.03312473394099787,0.23996562473923566,10.746449306269035,0.0001,483.30691167400073
33,749,17.989591317119523,0.03321893876654721,0.23791308332985647,10.735453976171517,0.0001,477.820496782002
34,749,17.873505808800978,0.03219378450748639,0.23323122235897864,10.771428960028572,0.0001,479.73727640799916
35,749,17.978814146706515,0.03478346077926726,0.23582012344584447,10.742034890463897,0.0001,480.10494041999846
36,749,17.918570914478583,0.03387592513660076,0.23379919971420227,10.759094532405104,0.0001,482.12160392200167
37,749,17.877866080351602,0.03342837647992486,0.23286240377795395,10.754833501553504,0.0001,480.0521533729989
38,749,17.842737675349767,0.032755558454221456,0.23181706467999,10.764732387578375,0.0001,480.4103442980013
39,749,17.805626688398252,0.03280413767866273,0.23045766751502003,10.763148633755733,0.0001,479.03046218700183
40,749,17.71614808234099,0.03199529786219942,0.2268603417838368,10.791064858277426,0.0001,480.12151550800263
41,749,17.819804457701416,0.03234190872195208,0.2302611163843458,10.794199118467771,0.0001,489.16987654400145
42,749,17.75167714387616,0.03241110752083023,0.22793803195927903,10.787026975756493,0.0001,508.3740670650004
43,749,17.713905149849456,0.031466666342645826,0.22713398137620994,10.794564198747336,0.0001,501.72207763599727
44,749,17.701622028376296,0.030746310098825374,0.2271964833319426,10.798688889823069,0.0001,511.9083664239988
45,749,17.733384953640172,0.03317798759995926,0.2259800991165304,10.802424893041797,0.0001,499.63171094800055
46,749,17.733597449848904,0.0305669351247138,0.22789777646236647,10.816198909234936,0.0001,489.93806833899725
47,749,17.600855517928526,0.03026883798441259,0.22163177205023366,10.860035979063394,0.0001,490.1035382609989
48,749,17.697968014410247,0.03225899967197105,0.22527318325475634,10.809122756581122,0.0001,510.61646088699854
49,749,17.651322438656408,0.03102241236298719,0.22356199868053236,10.839588940700638,0.0001,504.53835666599844
50,749,17.591083284691276,0.030154895233562358,0.22281759794309078,10.821142625745052,0.0001,499.65980055800173
51,749,17.50866052910228,0.02879302942340768,0.21991496474465955,10.851173170418223,0.0001,493.32577142899754
52,749,17.536775960782183,0.029242614664333824,0.22004249481078939,10.864499908263916,0.0001,491.46773760200085
53,749,17.482786892889656,0.02909484190694759,0.2182615557722797,10.86242827172273,0.0001,490.9455718620011
54,749,17.552089616039567,0.029235324225679427,0.22089169022237984,10.857139845874823,0.0001,490.14325609599837
55,749,17.577723448362466,0.03075837008176354,0.22006034087116155,10.867094588693535,0.0001,488.94001927499994
56,749,17.493153052591037,0.02942629146622183,0.21733445701038887,10.88946340685693,0.0001,492.8639160700004
57,749,17.51196937917549,0.029812523178465278,0.21909453490070094,10.851081391042957,0.0001,506.4607424470014
58,749,17.454128629534203,0.0290778950125648,0.21636930295080942,10.885225327852094,0.0001,513.1794298130008
59,749,17.52373905843982,0.03035935252819096,0.2183555939168892,10.869186133981865,0.0001,533.6251653519976
60,749,17.523278042853118,0.031557545771366,0.21712967550483978,10.8719082578957,0.0001,527.2189620250028
61,749,17.421396249126847,0.028261821280272107,0.21466349664135514,10.919050067702981,0.0001,526.2083639360026
62,749,17.392505732333866,0.028175240161534006,0.21361351267836282,10.92054925009469,0.0001,523.8204984889962
63,749,17.367522594925557,0.028933417001361143,0.21232452188855974,10.911363740470286,0.0001,498.53030004000175
64,749,17.382884704223144,0.028589679664050606,0.21285485139039553,10.921091968449796,0.0001,492.4248917570003
65,749,17.38088633380681,0.02797158245816056,0.21411409874624499,10.900524106299448,0.0001,492.10053825799696
66,749,17.341101356119275,0.027703600449304783,0.21158101752857977,10.935782387991932,0.0001,492.0873223480012
67,749,17.34447062508923,0.027843839895056042,0.21146122890416388,10.939004337835376,0.0001,490.81775849199767
68,749,17.293081893462524,0.027703194249202517,0.20968363090892023,10.939088951284004,0.0001,512.4154102079992
