epoch,total_loss,regression_loss,classification_loss,validation_total_loss,validation_regression_loss,validation_classification_loss,validation_SM_0_rmse,validation_SM_0_mae,validation_SM_0_me,validation_SM_0_r2,validation_SM_20_rmse,validation_SM_20_mae,validation_SM_20_me,validation_SM_20_r2,validation_accuracy,validation_macro_f1,validation_macro_precision,validation_macro_recall,mean_regression_RMSE,is_best_regression
1,2.077472919767553,0.06950536285611716,2.0079675641926853,2.188037371635437,0.0800931353121996,2.1079442143440246,27.233908415709614,22.366564993214855,3.0282302628751445,0.1528700696486266,26.097584128234367,21.348725515253403,1.6100307632895077,0.21950739012153242,0.23529411764705882,0.22312521216608108,0.22235357011566687,0.23306979244641318,26.66574627197199,True
2,2.0627464814619585,0.0652781372720545,1.997468357736414,2.087473511695862,0.0523350277915597,2.035138499736786,23.307412575481994,18.775627754963807,2.930150043593146,0.3795336849387503,24.298242933503786,19.616758534240063,4.0461553326940045,0.32342192132183456,0.17647058823529413,0.1658583939870699,0.17056506021211906,0.18154336011275435,23.80282775449289,True
3,2.0336632349274377,0.0643642781810327,1.9692989587783813,2.1779729962348937,0.07256751321256161,2.1054054737091064,24.06737953712441,19.302975225201116,2.8633111707066994,0.3384118854952284,25.265354494533955,20.744891262384435,2.0842219026030966,0.26849217686945315,0.18685121107266436,0.1711188686641118,0.17696412488942695,0.18267088637551862,24.66636701582918,False
4,2.0043674978342922,0.06029460519890894,1.944072891365398,2.049544095993042,0.05578502453863621,1.9937590837478638,23.099664638455668,18.543953083171978,0.4476242698600135,0.3905452999107514,23.544431865103416,18.81316019857631,-1.9301871117011073,0.3647500884497795,0.2422145328719723,0.21192150378357275,0.22364798996464294,0.22696264900909205,23.32204825177954,True
5,1.9746265573935076,0.058559250086545944,1.916067291389812,2.008452498912811,0.05770524423569441,1.950747263431549,24.715756205448024,19.381066830512975,3.4431742598853723,0.3022852786808373,24.05397674913792,19.420637211585127,1.6712743485262649,0.3369565999139278,0.1972318339100346,0.1758827918783989,0.17640598988242795,0.1897894939063833,24.384866477292974,False
6,1.943082338029688,0.05558414926583117,1.8874981918118217,1.9977885484695435,0.04898547809571028,1.9488030910491942,22.88934482093921,18.120925697075865,0.673028333789337,0.40159280811675135,22.541521749955216,18.448535667777474,-1.7321776743578663,0.4177162831586837,0.23183391003460208,0.2104337337094782,0.21461573562231218,0.22422969992718972,22.71543328544721,True
7,1.9590673582120375,0.057229018600826916,1.9018383459611372,1.9269995093345642,0.04475516937673092,1.8822443604469299,21.291342111406784,17.215512303745044,-0.13327688824346734,0.48223086542868354,21.984016852679897,17.55906092749335,-0.11460051734554727,0.44616260052969325,0.23875432525951557,0.21301061233148993,0.22183087574391921,0.23361774509114003,21.63767948204334,True
8,1.9770978824658827,0.05782595420764251,1.9192719405347651,1.9447670876979828,0.05087377987802029,1.893893313407898,23.48141162731116,18.51387057584875,1.5408765667450057,0.37023505221724784,23.356564310843122,18.62084138805891,-0.4190131475356211,0.3748473133956338,0.23183391003460208,0.22009488299789423,0.22996679495208908,0.23163734840052178,23.418987969077143,False
9,1.9134544703093441,0.055156194012273445,1.8582982827316632,2.0121654152870176,0.05467298664152622,1.9574924111366272,23.692577991705832,18.349008045807018,3.3787129572931045,0.35885727486518326,22.176333795817545,17.51549750030247,2.6730273332975316,0.4364302387782347,0.22491349480968859,0.2139205235482237,0.22217427704873902,0.2258414749899785,22.934455893761687,False
10,1.8962652466513894,0.04938672880896113,1.8468785150484606,1.9359802722930908,0.04377506268210709,1.8922052145004273,22.54865717374061,17.72640353090623,0.20217948223892793,0.4192737621169512,21.299110297921576,16.802997751735074,-0.6951593553524942,0.4801343674542061,0.2179930795847751,0.20255351057303975,0.20574534981951437,0.21219430159346198,21.923883735831094,False
