relative_path,status,reason
Base_line_models_pretrain_ImageNet.py,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
Best_finetuned_VicReg_mu_25.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_23.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_25.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_27.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_30.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
checkpoints_Vicreg_original_NEW/vicreg_metrics_original_soilnet_mu_33.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_23.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_25.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_27.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_30.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
checkpoints_Vicreg_original_NEW/vicreg_projector_final_mu_33.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_23.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_25.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_27.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_30.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
checkpoints_Vicreg_original_NEW/VicReg_SoiNet_optimized_mu_33.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_mu=20.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_mu=23.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_mu=25.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_mu=27.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_mu=30.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_mu=33.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_mu=40.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_mu=20.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_mu=23.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_mu=25.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_mu=27.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_mu=30.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_mu=33.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_TinyImageNet_mu=20.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_TinyImageNet_mu=23.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_TinyImageNet_mu=25.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_TinyImageNet_mu=27.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_TinyImageNet_mu=30.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/Finetune_VicReg_TinyImageNet_mu=33.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_new/training_metrics_finetuned_VicReg_mu_20.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_mu_23.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_mu_25.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_mu_27.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_mu_30.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_mu_33.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_20.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_23.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_25.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_27.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_30.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_new/training_metrics_finetuned_VicReg_TinyImageNet_mu_33.csv,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
finetune_tinyImage_mu=20.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_tinyImage_mu=23.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_tinyImage_mu=25.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_tinyImage_mu=27.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_tinyImage_mu=30.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
finetune_tinyImage_mu=33.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=2.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=23.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=25.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=27.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=30.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=33.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=40.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG-mu=80.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
pp_SoiNet_orginal_vicREG_mu=20.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
predict_fromtelegram.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
SoilNet_pretrain_ImageNet.py,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
VicReg_all.xlsx,KEEP_AS_TRAINING_LOG,Legacy metrics are retained but evaluation scope must be established.
vicreg_model_final_tinyImageNet_mu_20.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
vicreg_model_final_tinyImageNet_mu_23.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
vicreg_model_final_tinyImageNet_mu_25.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
vicreg_model_final_tinyImageNet_mu_27.0.pth,KEEP_CHECKPOINT_REEVALUATE,Hash and compatibility must be verified before selection.
VicReg_SoiNet_optimized_mu_20.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
Vicreg_soiNet_tinyImagenet_mu=20.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
Vicreg_soiNet_tinyImagenet_mu=23.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
Vicreg_soiNet_tinyImagenet_mu=25.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
Vicreg_soiNet_tinyImagenet_mu=27.ipynb,KEEP_AS_LEGACY,Immutable provenance at pinned commit.
