sample_id,relative_path,sha256,prospective_split,status,exact_match_in_historical_unlabeled_pool,near_duplicate_group_in_historical_unlabeled_pool,evidence
ae18d9ad3498fda2c0cd,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094628996_2ba67db18f33aa6bf75d2bf34582cb2c.jpg,61f2a16b56f07e990fa83e569ebc4ea6d944a09424d84e7dffc574e36aecec4f,train,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
4c2bf259da56523af3b9,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094678086_ccdd5713d59bdeb437045817ae20fa54.jpg,eef7e5a6494a6691dbbc0a3cebe418faded91a64804f0eb6194d366299163c69,validation,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
5b3581379f94efe93ad3,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094725107_874a386639c72d4b6941ed301c7289d1.jpg,8a9100c5052f8ac4bab28af2a5530c59d7dcea83e33aa19154e9251be8101024,train,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
a7a5db0de02a92946883,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,8d1c8e57d3b8b8ec853d7c87c41757c8cd317cb44203f84c387729ac8f5d4812,train,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
aa0539fa9a54df4f84ab,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094821120_076a229f7f0abec1ccc4daef6977a0fd.jpg,cf59b65f8f92462ba46e47a3bfabeade81bfffb49250c7834bf225e223fe0603,test,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
dc3022e15d3f715c6b16,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,9bcf850d239e246256242a14f48a4f024a10aef2a705af4a897fb1680ff1c303,test,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
af0d7283cc83eba2b2bd,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094901576_151d7c7f5174236f4ce3c22eb6767bd0.jpg,0f4483733e9f848686e9d97f4c1f7b000abed05a6aec432c18e0a43b0c913480,train,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
12c48207c8d355dc3469,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,14db40a67f43712fc0c9fb350da7f29eb8e0c34c4a467f704ff5d507a65c850e,train,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
dac7465cdce21c7d9425,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,0f50b2ad6086a6d3670165499f6469638e2c50afb362759daf6df858dd812c67,validation,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
687a3b94b96f32d2986f,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095021903_b26a3a815aa064952be57e24cd3e499e.jpg,ecd15648c3282bd93e816398c905ceced86e6af8a0d6b62ac3856964c1187e37,train,HISTORICALLY_EXPOSED,True,True,"High-confidence fine-tune notebooks build one dataset from all 2057 rows. For fallback rows, sample identity was exposed although historical augmented bytes are not reproducible."
