duplicate_group_id,group_size,sample_id,relative_path,effective_relative_path,sha256,split
sha256:00905821ecc223e9,2,00d5f023511abaf8e676,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg,00905821ecc223e991a8ae79e30a1d0e96b33018482c53840d07dd7f2a6ed88b,test
sha256:00905821ecc223e9,2,e8b0cd2c995d907fdaf3,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143128222_276e4e8586100105a226ae375886a943.jpg,00905821ecc223e991a8ae79e30a1d0e96b33018482c53840d07dd7f2a6ed88b,test
sha256:1036124b03e417fc,3,40e4859841f6461c5799,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,test
sha256:1036124b03e417fc,3,da91723cc11cc1e2606b,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,test
sha256:1036124b03e417fc,3,044b361d62eafd6848cc,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115955016_77628ff737c4b80cdf4db3cabe679c96.jpg,1036124b03e417fccc2b2771da3daa5a7aa4639e9c0f2094e2f620f40d734ce6,test
sha256:152c3629f5e51fcd,3,0a2458593f29c4bfa00e,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,test
sha256:152c3629f5e51fcd,3,290e8751b1e6cabf6a05,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,test
sha256:152c3629f5e51fcd,3,7b413eb8b352bda0dea5,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115982216_637e10bfdba8825575e6ddce9ee0b4db.jpg,152c3629f5e51fcdd37dc597a1642fce5df05fa051ff1e636ab64591586992fa,test
sha256:18bc134226d0f029,3,473a4f4a33aebb697a01,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,train
sha256:18bc134226d0f029,3,2885945b220a4cba35d3,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,train
sha256:18bc134226d0f029,3,62c27104169ff615982f,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115727413_e891a8cfc53a007f676e1bac4a0342b5.jpg,18bc134226d0f0292404508331885ed7ec92dac7ad23953057102c75b475fc2a,train
sha256:18bc70fb3bbd74cd,4,7d871def2b0f592ae0ee,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,validation
sha256:18bc70fb3bbd74cd,4,605650cb9ddba9661922,Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,validation
sha256:18bc70fb3bbd74cd,4,b45ddcb1a0f9311e962e,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,validation
sha256:18bc70fb3bbd74cd,4,00cac614ccf99e7eca7d,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115765295_566dab2e381f475c4d17c1f90510d54b.jpg,18bc70fb3bbd74cd8bf3ab88ec4e48b1aa2fdd6673a130490622719209b228e0,validation
sha256:1ce12e72af799f3e,3,a9da3f249e47b562e811,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,train
sha256:1ce12e72af799f3e,3,2889d30390de5b6a7dc7,Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,train
sha256:1ce12e72af799f3e,3,b0ef2b0f21d79461cb3e,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142732215_24153a5f94f1690b1290a7adb4f344d9.jpg,1ce12e72af799f3ef641eac772e49eaa601410979f064594ee0697444163f229,train
sha256:1d9f70a629ed7f33,2,e5922ce6cb21fe5c9243,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,1d9f70a629ed7f33b5bb9dcbf9d2edf129960e30bc7d5a1fad18323eb20bc184,test
sha256:1d9f70a629ed7f33,2,ec4fcdad3b687bec98c0,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720142605939_7caf2dad0259dceaa9b82d0f49f18ce1.jpg,1d9f70a629ed7f33b5bb9dcbf9d2edf129960e30bc7d5a1fad18323eb20bc184,test
sha256:22f013a0c4a1d0d7,2,3a08df9ab58651e939a3,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg,22f013a0c4a1d0d774875af11dd19a5943ec5cf8b4947bac016c8b4c94101565,train
sha256:22f013a0c4a1d0d7,2,d66c77242dce86e6e9a7,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143103699_d6de3602e00ee02916b885433cd153ac.jpg,22f013a0c4a1d0d774875af11dd19a5943ec5cf8b4947bac016c8b4c94101565,train
sha256:26bb3fee4d57dc0f,4,d56db68a0329645c2eef,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,Soil_Labeled_Data/M_30_40/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,26bb3fee4d57dc0f3c2e373eaccb19a1a4f4b8da2c84829c5918e6d3a9e603b3,train
sha256:26bb3fee4d57dc0f,4,b38013506227b42bf16f,Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,Soil_Labeled_Data/M_40_50/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,26bb3fee4d57dc0f3c2e373eaccb19a1a4f4b8da2c84829c5918e6d3a9e603b3,train
sha256:26bb3fee4d57dc0f,4,34916b894a9ad9a1c5a4,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,Soil_Labeled_Data/M_50_60/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,26bb3fee4d57dc0f3c2e373eaccb19a1a4f4b8da2c84829c5918e6d3a9e603b3,train
sha256:26bb3fee4d57dc0f,4,a3dd1a14b20acc9ba88e,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,Soil_Labeled_Data/M_60_70/L_80_90/alluvial/z5720115611278_2165bd5b2e5ac713d97400eabcc65d99.jpg,26bb3fee4d57dc0f3c2e373eaccb19a1a4f4b8da2c84829c5918e6d3a9e603b3,train
sha256:2746273450e1a7d8,2,93d132742b6b55e9ac3d,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0757.JPG,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0757.JPG,2746273450e1a7d8101832135e632930f65ff0bfb7e569ab2f263d346d531f9b,train
sha256:2746273450e1a7d8,2,0308ea9aed59285f1583,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0758.JPG,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0758.JPG,2746273450e1a7d8101832135e632930f65ff0bfb7e569ab2f263d346d531f9b,train
sha256:28778be0bae35396,2,4390dc82b013d8bfbe57,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg,28778be0bae3539683f2940129076cf100dfde68b5c5159cc728f519231fc91e,test
sha256:28778be0bae35396,2,b84800b6df810575baf3,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143154446_d6236257ccb21858bbf8354df5e10a69.jpg,28778be0bae3539683f2940129076cf100dfde68b5c5159cc728f519231fc91e,test
sha256:323a8ac7e9832d5f,2,3bea9981114ac4005224,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg,323a8ac7e9832d5f0b28a04df602dc3fc509c5d0fbaf03cc9c92e70db03d6391,train
sha256:323a8ac7e9832d5f,2,4b8b2fd7093587dfecc6,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143078801_9e7f2d067ac7542cc6f3b8a5bd731451.jpg,323a8ac7e9832d5f0b28a04df602dc3fc509c5d0fbaf03cc9c92e70db03d6391,train
sha256:335f93b7096fabc3,2,98fe83ba4a875d38ffc8,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0760.JPG,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0760.JPG,335f93b7096fabc3a68114e8059a8e21ce0d591798de4cde573718489111b02b,train
sha256:335f93b7096fabc3,2,c8707575fb8da1c3391a,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0761.JPG,Soil_Labeled_Data/M_10_20/L_80_90/alluvial/IMG_0761.JPG,335f93b7096fabc3a68114e8059a8e21ce0d591798de4cde573718489111b02b,train
