near_duplicate_group_id,group_size,unique_sha256_count,sample_id,relative_path,effective_relative_path,sha256,perceptual_hash,split,threshold
phash:019406175839e097,8,8,0400422af6db50009b81,Soil_Labeled_Data/M_10_20/L_60_70/alluvial/IMG_0682.JPG,Soil_Labeled_Data/M_10_20/L_60_70/alluvial/IMG_0682.JPG,36a24b5252f54d123c2d8a780e43c5e9eec1c372beb3c339688c3b0370936231,64aae96130498c91,validation,5
phash:019406175839e097,8,8,71c41b8a9e21b8c3b6b0,Soil_Labeled_Data/M_30_40/L_60_70/alluvial/IMG_0682_M_10_20_light_brown.jpg,Soil_Labeled_Data/M_30_40/L_60_70/alluvial/IMG_0682_M_10_20_light_brown.jpg,c19ded70c34fe4b7f4806aa91c25b24d3d360b1abbd7b366513d0ce30ac5db59,64aae96130498c91,validation,5
phash:019406175839e097,8,8,0caae34edb6dca39d52d,Soil_Labeled_Data/M_50_60/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_30_40_gray_brown.jpg,Soil_Labeled_Data/M_50_60/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_30_40_gray_brown.jpg,41360f0356f4eb9b761d92e70cec8c64678ce7f758b764c896bb43a46b6a9135,64aae96130498c91,validation,5
phash:019406175839e097,8,8,4c65f4c69be4798fab4d,Soil_Labeled_Data/M_50_60/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_40_50_gray_brown.jpg,Soil_Labeled_Data/M_50_60/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_40_50_gray_brown.jpg,518437051917a01668e61b7d5ee0d5f059239023781ec597f61948751763c68d,64aae96130498c81,validation,5
phash:019406175839e097,8,8,cdb4e7f3b0861d1e7bbe,Soil_Labeled_Data/M_60_70/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_40_50_gray_brown.jpg,Soil_Labeled_Data/M_60_70/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_40_50_gray_brown.jpg,70795c62be5f0ac61a9471e7a764817c98f16cbf02159a2394f5406dc82c04aa,64aae96130498c81,validation,5
phash:019406175839e097,8,8,a6cbb11aa2e0aadadea9,Soil_Labeled_Data/M_90_100/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_30_40_gray_brown_M_50_60_dark_brown_M_60_70_clay_red_M_70_80_clay_red_M_80_90_wet_gray.jpg,Soil_Labeled_Data/M_90_100/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_30_40_gray_brown_M_50_60_dark_brown_M_60_70_clay_red_M_70_80_clay_red_M_80_90_wet_gray.jpg,c75c94c4e496c733d4c7694e3943c545affa70daba6897220cc3b13b81d4634a,2422696110498c81,validation,5
phash:019406175839e097,8,8,f5b9450028cd6c72931a,Soil_Labeled_Data/M_90_100/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_30_40_gray_brown_M_50_60_dark_brown_M_60_70_wet_gray_M_80_90_dark_brown.jpg,Soil_Labeled_Data/M_90_100/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_30_40_gray_brown_M_50_60_dark_brown_M_60_70_wet_gray_M_80_90_dark_brown.jpg,b0483ea573ddf15cf3b1d468684928b504409fb18fbfff02ac494b2d210d0fff,64aae96130498c81,validation,5
phash:019406175839e097,8,8,5053fa8a994f46ef805c,Soil_Labeled_Data/M_90_100/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_40_50_gray_brown_M_60_70_clay_red_M_80_90_wet_gray.jpg,Soil_Labeled_Data/M_90_100/L_60_70/alluvial/IMG_0682_M_10_20_light_brown_M_40_50_gray_brown_M_60_70_clay_red_M_80_90_wet_gray.jpg,b494072731f7d848d9d6f7a4e857481fec5a7e54f1380036d8a83b7fef7a0613,64aa696130498c81,validation,5
phash:0285effacff0304c,5,3,c8b7c04fd443f160cc9b,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg,9905aa20c91ef10e1318eef77539884be05c4c10b902e962b74c76325f6724c8,2f0d0b1b1b0e2bab,validation,5
phash:0285effacff0304c,5,3,4035ecfe9554d317a060,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8_aug_00_dark_brown.jpg,Soil_Labeled_Data/M_30_40/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8_aug_00_dark_brown.jpg,e6b8ef9942e574eebb354364813814ec3b490d762e565f8ad6b8d28c37355353,2f0d0b1b1b0e0bab,validation,5
phash:0285effacff0304c,5,3,0d7bdeb3138e8f4fb591,Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg,Soil_Labeled_Data/M_40_50/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg,9905aa20c91ef10e1318eef77539884be05c4c10b902e962b74c76325f6724c8,2f0d0b1b1b0e2bab,validation,5
phash:0285effacff0304c,5,3,e2dcaba025409f3004e6,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg,Soil_Labeled_Data/M_50_60/L_90_100/alluvial/z5720143165808_c048ad1ab07ddbb36a302d65772e88c8.jpg,9905aa20c91ef10e1318eef77539884be05c4c10b902e962b74c76325f6724c8,2f0d0b1b1b0e2bab,validation,5
phash:0285effacff0304c,5,3,1ce9f3f552a94c950bb7,Soil_Labeled_Data/M_70_80/L_90_100/alluvial/M_70_80_L_90_100_0039_dark_brown.jpg,Soil_Labeled_Data/M_70_80/L_90_100/alluvial/M_70_80_L_90_100_0039_dark_brown.jpg,c3a5725021773cf8fe4ee951a46dbce0b888d0c5e1647d66acb175a61e222439,2b0d0b1b1b0e0b8b,validation,5
phash:032ca74b7d6f602f,2,2,566f046c434ac2c0c593,Soil_Labeled_Data/M_30_40/L_30_40/alluvial/z5716113984230_841d282af180a0d9e956cbf770b8648f.jpg,Soil_Labeled_Data/M_30_40/L_30_40/alluvial/z5716113984230_841d282af180a0d9e956cbf770b8648f.jpg,82af4b0b4fb1ed264764f7005847699b81cf54b95062345ee39788d3b1bdc86c,250d23060b0323c2,train,5
phash:032ca74b7d6f602f,2,2,db3083a60d0a491183aa,Soil_Labeled_Data/M_40_50/L_30_40/alluvial/z5716113984230_841d282af180a0d9e956cbf770b8648f_M_30_40_pale_yellow.jpg,Soil_Labeled_Data/M_40_50/L_30_40/alluvial/z5716113984230_841d282af180a0d9e956cbf770b8648f_M_30_40_pale_yellow.jpg,b3bc6f46bbb7680f32d790ed7936a409f99f8d0b887d38a0270aa3ad2e16126f,250d23060b0323c2,train,5
phash:036bd561c9affbf4,4,4,f2fea6e0cd3e15dc95ba,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0012.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0012.JPG,c6413a0ee8f4d7c5fa7967b47dacfb294c85d120a9108c5ecf4b12572b163a51,450b4723054b3766,train,5
phash:036bd561c9affbf4,4,4,5c8ae2185e04bc3c282b,Soil_Labeled_Data/M_50_60/L_10_20/alluvial/IMG_0012_M_0_10_clayish_red_M_40_50_light_brown.jpg,Soil_Labeled_Data/M_50_60/L_10_20/alluvial/IMG_0012_M_0_10_clayish_red_M_40_50_light_brown.jpg,7272c9644f5de4bc93568a8bf99f3162f5480f2353d2efcfc0d2d4debfe8694f,47034723054f3746,train,5
phash:036bd561c9affbf4,4,4,fa0ad32e950ba0eb24c6,Soil_Labeled_Data/M_60_70/L_10_20/alluvial/IMG_0012_M_0_10_clayish_red_M_40_50_gray_brown.jpg,Soil_Labeled_Data/M_60_70/L_10_20/alluvial/IMG_0012_M_0_10_clayish_red_M_40_50_gray_brown.jpg,ae2eaf80dd7b697348a822211dce88869e7a7db593c1d8ee35c95415bbfb68ef,450b4723054b2766,train,5
