sample_id,original_row_id,relative_path,effective_relative_path,path_status,historical_fallback_used,sha256,SM_0,SM_20,light_value,moisture_class,moisture_bin,light_bin,soil_type,group_id,near_duplicate_group_id,capture_session_group,source_group,split
a7a5db0de02a92946883,z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,PRESENT,False,8d1c8e57d3b8b8ec853d7c87c41757c8cd317cb44203f84c387729ac8f5d4812,6,9,10,0,M_0_10,L_0_10,alluvial,phash:d39589b4ec5f1b24,phash:d39589b4ec5f1b24,,,train
dc3022e15d3f715c6b16,z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,PRESENT,False,9bcf850d239e246256242a14f48a4f024a10aef2a705af4a897fb1680ff1c303,8,13,4,0,M_0_10,L_0_10,alluvial,phash:c9a90efdca59a223,phash:c9a90efdca59a223,,,train
12c48207c8d355dc3469,z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,PRESENT,False,14db40a67f43712fc0c9fb350da7f29eb8e0c34c4a467f704ff5d507a65c850e,2,7,0,0,M_0_10,L_0_10,alluvial,phash:446244e7bede194d,phash:446244e7bede194d,,,train
dac7465cdce21c7d9425,z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,PRESENT,False,0f50b2ad6086a6d3670165499f6469638e2c50afb362759daf6df858dd812c67,6,12,9,0,M_0_10,L_0_10,alluvial,phash:19bb67e0bcbd5c12,phash:19bb67e0bcbd5c12,,,train
17880af9a02f9d4f9d59,z5714095361298_5b8521f71b6051a784c85bd3550ccbe0.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095361298_5b8521f71b6051a784c85bd3550ccbe0.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095361298_5b8521f71b6051a784c85bd3550ccbe0.jpg,PRESENT,False,263011d7a34702c9b8b64b3eb97f4b2b42f8e24077e5e5a1dccd3664b4402b76,10,12,8,0,M_0_10,L_0_10,alluvial,phash:43eb2bc58c1ed2f1,phash:43eb2bc58c1ed2f1,,,train
c27388cf9a5f20dc35fd,z5714095397323_3ba8d5731fe9ad72ecd36a4f5fe55be2.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095397323_3ba8d5731fe9ad72ecd36a4f5fe55be2.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095397323_3ba8d5731fe9ad72ecd36a4f5fe55be2.jpg,PRESENT,False,a42af59864e5be74d8d54cf25ef0a4b0feab4e5e4044ea22a4bdc07eaeec9080,7,13,4,0,M_0_10,L_0_10,alluvial,phash:2625026fa96c1b6d,phash:2625026fa96c1b6d,,,train
88003ddaa899cae3b825,IMG_0007.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0007.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0007.JPG,PRESENT,False,8ec3f8cf1867bd9220e6ce235466a06b97ae53f66decc7412e487d12926c8f49,10,13,19,0,M_0_10,L_10_20,alluvial,phash:432c8ed6a163119e,phash:432c8ed6a163119e,,,train
788929cac17f2b323f85,IMG_0008.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0008.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0008.JPG,PRESENT,False,51e7a281fa42d00616e663e1e3c5360a2a2b975063507a623b79e9fc5dbbe732,10,13,20,0,M_0_10,L_10_20,alluvial,phash:788929cac17f2b32,phash:788929cac17f2b32,,,train
30406a38420bd3fd78e6,IMG_0011.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0011.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0011.JPG,PRESENT,False,8ed3a2669bc930191e413f9158385a0686def867492baa36055c350828681d63,8,12,19,0,M_0_10,L_10_20,alluvial,phash:30406a38420bd3fd,phash:30406a38420bd3fd,,,train
f2fea6e0cd3e15dc95ba,IMG_0012.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0012.JPG,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0012.JPG,PRESENT,False,c6413a0ee8f4d7c5fa7967b47dacfb294c85d120a9108c5ecf4b12572b163a51,4,10,14,0,M_0_10,L_10_20,alluvial,phash:036bd561c9affbf4,phash:036bd561c9affbf4,,,train
