sample_id,original_row_id,relative_path,effective_relative_path,path_status,historical_fallback_used,sha256,SM_0,SM_20,light_value,moisture_class,moisture_bin,light_bin,soil_type,group_id,near_duplicate_group_id,capture_session_group,source_group
ae18d9ad3498fda2c0cd,z5714094628996_2ba67db18f33aa6bf75d2bf34582cb2c.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094628996_2ba67db18f33aa6bf75d2bf34582cb2c.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094628996_2ba67db18f33aa6bf75d2bf34582cb2c.jpg,PRESENT,False,61f2a16b56f07e990fa83e569ebc4ea6d944a09424d84e7dffc574e36aecec4f,5,11,7,0,M_0_10,L_0_10,alluvial,phash:957fd988556b451a,phash:957fd988556b451a,,
4c2bf259da56523af3b9,z5714094678086_ccdd5713d59bdeb437045817ae20fa54.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094678086_ccdd5713d59bdeb437045817ae20fa54.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094678086_ccdd5713d59bdeb437045817ae20fa54.jpg,PRESENT,False,eef7e5a6494a6691dbbc0a3cebe418faded91a64804f0eb6194d366299163c69,8,12,1,0,M_0_10,L_0_10,alluvial,phash:185e74ca5da04b44,phash:185e74ca5da04b44,,
5b3581379f94efe93ad3,z5714094725107_874a386639c72d4b6941ed301c7289d1.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094725107_874a386639c72d4b6941ed301c7289d1.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094725107_874a386639c72d4b6941ed301c7289d1.jpg,PRESENT,False,8a9100c5052f8ac4bab28af2a5530c59d7dcea83e33aa19154e9251be8101024,8,13,2,0,M_0_10,L_0_10,alluvial,phash:d5cf8775dc0f8b98,phash:d5cf8775dc0f8b98,,
a7a5db0de02a92946883,z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,PRESENT,False,8d1c8e57d3b8b8ec853d7c87c41757c8cd317cb44203f84c387729ac8f5d4812,6,9,10,0,M_0_10,L_0_10,alluvial,phash:d39589b4ec5f1b24,phash:d39589b4ec5f1b24,,
aa0539fa9a54df4f84ab,z5714094821120_076a229f7f0abec1ccc4daef6977a0fd.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094821120_076a229f7f0abec1ccc4daef6977a0fd.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094821120_076a229f7f0abec1ccc4daef6977a0fd.jpg,PRESENT,False,cf59b65f8f92462ba46e47a3bfabeade81bfffb49250c7834bf225e223fe0603,6,8,10,0,M_0_10,L_0_10,alluvial,phash:ec47c8b5a52ec80d,phash:ec47c8b5a52ec80d,,
dc3022e15d3f715c6b16,z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,PRESENT,False,9bcf850d239e246256242a14f48a4f024a10aef2a705af4a897fb1680ff1c303,8,13,4,0,M_0_10,L_0_10,alluvial,phash:c9a90efdca59a223,phash:c9a90efdca59a223,,
af0d7283cc83eba2b2bd,z5714094901576_151d7c7f5174236f4ce3c22eb6767bd0.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094901576_151d7c7f5174236f4ce3c22eb6767bd0.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094901576_151d7c7f5174236f4ce3c22eb6767bd0.jpg,PRESENT,False,0f4483733e9f848686e9d97f4c1f7b000abed05a6aec432c18e0a43b0c913480,8,12,4,0,M_0_10,L_0_10,alluvial,phash:c5ca4d0dd99354cd,phash:c5ca4d0dd99354cd,,
12c48207c8d355dc3469,z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,PRESENT,False,14db40a67f43712fc0c9fb350da7f29eb8e0c34c4a467f704ff5d507a65c850e,2,7,0,0,M_0_10,L_0_10,alluvial,phash:446244e7bede194d,phash:446244e7bede194d,,
dac7465cdce21c7d9425,z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,PRESENT,False,0f50b2ad6086a6d3670165499f6469638e2c50afb362759daf6df858dd812c67,6,12,9,0,M_0_10,L_0_10,alluvial,phash:19bb67e0bcbd5c12,phash:19bb67e0bcbd5c12,,
687a3b94b96f32d2986f,z5714095021903_b26a3a815aa064952be57e24cd3e499e.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095021903_b26a3a815aa064952be57e24cd3e499e.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095021903_b26a3a815aa064952be57e24cd3e499e.jpg,PRESENT,False,ecd15648c3282bd93e816398c905ceced86e6af8a0d6b62ac3856964c1187e37,0,5,2,0,M_0_10,L_0_10,alluvial,phash:d7ab328ed292f42f,phash:d7ab328ed292f42f,,
112165dd57a460414580,z5714095067177_c28910a39d05d545c1eb98c0765e3032.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095067177_c28910a39d05d545c1eb98c0765e3032.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095067177_c28910a39d05d545c1eb98c0765e3032.jpg,PRESENT,False,443c72e9db2a4975c17585560d52cc0469ae832bc551ba81d1b41288a633afbe,0,3,2,0,M_0_10,L_0_10,alluvial,phash:cec8a8fc69bb7ca6,phash:cec8a8fc69bb7ca6,,
1db5b489a6c2f5727d29,z5714095113548_cc43f0b7634b8ff50927d9450139c615.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095113548_cc43f0b7634b8ff50927d9450139c615.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095113548_cc43f0b7634b8ff50927d9450139c615.jpg,PRESENT,False,ef382e414c158187fee6c71a556b65026987991acaf3b76870a310893d4fb4d1,10,17,0,0,M_0_10,L_0_10,alluvial,phash:3a114ea23a2061df,phash:3a114ea23a2061df,,
54d3978b9f2776f640ad,z5714095161888_3d5bfbb45a821c7b8a0a0889e60fa9e1.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095161888_3d5bfbb45a821c7b8a0a0889e60fa9e1.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095161888_3d5bfbb45a821c7b8a0a0889e60fa9e1.jpg,PRESENT,False,bf2694232084c5ca73fa992c1ab4463c7514a2adeda12dedd1075eb0c678a980,1,7,7,0,M_0_10,L_0_10,alluvial,phash:3518db25dfcb5ad3,phash:3518db25dfcb5ad3,,
922154d586b551c4fb4f,z5714095210827_634539ecd685150ff3660fcd3aeaba39.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095210827_634539ecd685150ff3660fcd3aeaba39.jpg,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095210827_634539ecd685150ff3660fcd3aeaba39.jpg,PRESENT,False,88d69e472ecb82bab060ed09cc7d479a91b2ee80a7eb6ce998496e0bb08642d8,10,16,2,0,M_0_10,L_0_10,alluvial,phash:aa41fb94cfc83ebf,phash:aa41fb94cfc83ebf,,
